"Statistic Label","Year","Nationality of Ownership","Expenditure","UNIT","VALUE"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","Any expenditure","Number","1206"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","€0 - €99,999","Number","419"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","€100,000 - €499,999","Number","398"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","€500,000 - €1,999,999","Number","226"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","€2,000,000 - €4,999,999","Number","90"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","€5,000,000 and over","Number","73"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","Any expenditure","Number","817"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","€0 - €99,999","Number","328"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","€100,000 - €499,999","Number","293"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","€500,000 - €1,999,999","Number","147"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","€2,000,000 - €4,999,999","Number","37"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","€5,000,000 and over","Number","12"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","Any expenditure","Number","389"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","€0 - €99,999","Number","91"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","€100,000 - €499,999","Number","105"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","€500,000 - €1,999,999","Number","79"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","€2,000,000 - €4,999,999","Number","54"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","€5,000,000 and over","Number","61"
"Enterprises Engaged in Research and Development Activities (Number)","2009","All nationalities of ownership","Any expenditure","Number","1283"
"Enterprises Engaged in Research and Development Activities (Number)","2009","All nationalities of ownership","€0 - €99,999","Number","435"
"Enterprises Engaged in Research and Development Activities (Number)","2009","All nationalities of ownership","€100,000 - €499,999","Number","439"
"Enterprises Engaged in Research and Development Activities (Number)","2009","All nationalities of ownership","€500,000 - €1,999,999","Number","277"
"Enterprises Engaged in Research and Development Activities (Number)","2009","All nationalities of ownership","€2,000,000 - €4,999,999","Number","65"
"Enterprises Engaged in Research and Development Activities (Number)","2009","All nationalities of ownership","€5,000,000 and over","Number","67"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Irish ownership","Any expenditure","Number","952"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Irish ownership","€0 - €99,999","Number","384"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Irish ownership","€100,000 - €499,999","Number","352"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Irish ownership","€500,000 - €1,999,999","Number","170"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Irish ownership","€2,000,000 - €4,999,999","Number","34"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Irish ownership","€5,000,000 and over","Number","12"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Non Irish ownership","Any expenditure","Number","331"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Non Irish ownership","€0 - €99,999","Number","51"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Non Irish ownership","€100,000 - €499,999","Number","87"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Non Irish ownership","€500,000 - €1,999,999","Number","107"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Non Irish ownership","€2,000,000 - €4,999,999","Number","31"
"Enterprises Engaged in Research and Development Activities (Number)","2009","Non Irish ownership","€5,000,000 and over","Number","55"
"Enterprises Engaged in Research and Development Activities (Number)","2011","All nationalities of ownership","Any expenditure","Number","1609"
"Enterprises Engaged in Research and Development Activities (Number)","2011","All nationalities of ownership","€0 - €99,999","Number","539"
"Enterprises Engaged in Research and Development Activities (Number)","2011","All nationalities of ownership","€100,000 - €499,999","Number","629"
"Enterprises Engaged in Research and Development Activities (Number)","2011","All nationalities of ownership","€500,000 - €1,999,999","Number","288"
"Enterprises Engaged in Research and Development Activities (Number)","2011","All nationalities of ownership","€2,000,000 - €4,999,999","Number","84"
"Enterprises Engaged in Research and Development Activities (Number)","2011","All nationalities of ownership","€5,000,000 and over","Number","69"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Irish ownership","Any expenditure","Number","1192"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Irish ownership","€0 - €99,999","Number","460"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Irish ownership","€100,000 - €499,999","Number","500"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Irish ownership","€500,000 - €1,999,999","Number","192"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Irish ownership","€2,000,000 - €4,999,999","Number","25"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Irish ownership","€5,000,000 and over","Number","15"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Non Irish ownership","Any expenditure","Number","417"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Non Irish ownership","€0 - €99,999","Number","79"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Non Irish ownership","€100,000 - €499,999","Number","129"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Non Irish ownership","€500,000 - €1,999,999","Number","96"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Non Irish ownership","€2,000,000 - €4,999,999","Number","59"
"Enterprises Engaged in Research and Development Activities (Number)","2011","Non Irish ownership","€5,000,000 and over","Number","54"
"Enterprises Engaged in Research and Development Activities (Number)","2013","All nationalities of ownership","Any expenditure","Number","1979"
"Enterprises Engaged in Research and Development Activities (Number)","2013","All nationalities of ownership","€0 - €99,999","Number","768"
"Enterprises Engaged in Research and Development Activities (Number)","2013","All nationalities of ownership","€100,000 - €499,999","Number","690"
"Enterprises Engaged in Research and Development Activities (Number)","2013","All nationalities of ownership","€500,000 - €1,999,999","Number","349"
"Enterprises Engaged in Research and Development Activities (Number)","2013","All nationalities of ownership","€2,000,000 - €4,999,999","Number","96"
"Enterprises Engaged in Research and Development Activities (Number)","2013","All nationalities of ownership","€5,000,000 and over","Number","76"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Irish ownership","Any expenditure","Number","1574"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Irish ownership","€0 - €99,999","Number","704"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Irish ownership","€100,000 - €499,999","Number","570"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Irish ownership","€500,000 - €1,999,999","Number","245"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Irish ownership","€2,000,000 - €4,999,999","Number","34"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Irish ownership","€5,000,000 and over","Number","21"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Non Irish ownership","Any expenditure","Number","405"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Non Irish ownership","€0 - €99,999","Number","64"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Non Irish ownership","€100,000 - €499,999","Number","120"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Non Irish ownership","€500,000 - €1,999,999","Number","104"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Non Irish ownership","€2,000,000 - €4,999,999","Number","62"
"Enterprises Engaged in Research and Development Activities (Number)","2013","Non Irish ownership","€5,000,000 and over","Number","55"
"Enterprises Engaged in Research and Development Activities (Number)","2015","All nationalities of ownership","Any expenditure","Number","1875"
"Enterprises Engaged in Research and Development Activities (Number)","2015","All nationalities of ownership","€0 - €99,999","Number","694"
"Enterprises Engaged in Research and Development Activities (Number)","2015","All nationalities of ownership","€100,000 - €499,999","Number","677"
"Enterprises Engaged in Research and Development Activities (Number)","2015","All nationalities of ownership","€500,000 - €1,999,999","Number","320"
"Enterprises Engaged in Research and Development Activities (Number)","2015","All nationalities of ownership","€2,000,000 - €4,999,999","Number","90"
"Enterprises Engaged in Research and Development Activities (Number)","2015","All nationalities of ownership","€5,000,000 and over","Number","94"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Irish ownership","Any expenditure","Number","1488"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Irish ownership","€0 - €99,999","Number","624"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Irish ownership","€100,000 - €499,999","Number","577"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Irish ownership","€500,000 - €1,999,999","Number","218"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Irish ownership","€2,000,000 - €4,999,999","Number","44"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Irish ownership","€5,000,000 and over","Number","25"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Non Irish ownership","Any expenditure","Number","387"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Non Irish ownership","€0 - €99,999","Number","70"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Non Irish ownership","€100,000 - €499,999","Number","100"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Non Irish ownership","€500,000 - €1,999,999","Number","102"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Non Irish ownership","€2,000,000 - €4,999,999","Number","46"
"Enterprises Engaged in Research and Development Activities (Number)","2015","Non Irish ownership","€5,000,000 and over","Number","69"
"Enterprises Engaged in Research and Development Activities (Number)","2017","All nationalities of ownership","Any expenditure","Number","1784"
"Enterprises Engaged in Research and Development Activities (Number)","2017","All nationalities of ownership","€0 - €99,999","Number","658"
"Enterprises Engaged in Research and Development Activities (Number)","2017","All nationalities of ownership","€100,000 - €499,999","Number","594"
"Enterprises Engaged in Research and Development Activities (Number)","2017","All nationalities of ownership","€500,000 - €1,999,999","Number","325"
"Enterprises Engaged in Research and Development Activities (Number)","2017","All nationalities of ownership","€2,000,000 - €4,999,999","Number","95"
"Enterprises Engaged in Research and Development Activities (Number)","2017","All nationalities of ownership","€5,000,000 and over","Number","112"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Irish ownership","Any expenditure","Number","1455"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Irish ownership","€0 - €99,999","Number","612"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Irish ownership","€100,000 - €499,999","Number","523"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Irish ownership","€500,000 - €1,999,999","Number","235"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Irish ownership","€2,000,000 - €4,999,999","Number","49"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Irish ownership","€5,000,000 and over","Number","36"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Non Irish ownership","Any expenditure","Number","329"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Non Irish ownership","€0 - €99,999","Number","46"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Non Irish ownership","€100,000 - €499,999","Number","71"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Non Irish ownership","€500,000 - €1,999,999","Number","90"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Non Irish ownership","€2,000,000 - €4,999,999","Number","46"
"Enterprises Engaged in Research and Development Activities (Number)","2017","Non Irish ownership","€5,000,000 and over","Number","76"
"Enterprises Engaged in Research and Development Activities (Number)","2019","All nationalities of ownership","Any expenditure","Number","1798"
"Enterprises Engaged in Research and Development Activities (Number)","2019","All nationalities of ownership","€0 - €99,999","Number","657"
"Enterprises Engaged in Research and Development Activities (Number)","2019","All nationalities of ownership","€100,000 - €499,999","Number","590"
"Enterprises Engaged in Research and Development Activities (Number)","2019","All nationalities of ownership","€500,000 - €1,999,999","Number","311"
"Enterprises Engaged in Research and Development Activities (Number)","2019","All nationalities of ownership","€2,000,000 - €4,999,999","Number","117"
"Enterprises Engaged in Research and Development Activities (Number)","2019","All nationalities of ownership","€5,000,000 and over","Number","123"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Irish ownership","Any expenditure","Number","1322"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Irish ownership","€0 - €99,999","Number","567"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Irish ownership","€100,000 - €499,999","Number","481"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Irish ownership","€500,000 - €1,999,999","Number","201"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Irish ownership","€2,000,000 - €4,999,999","Number","53"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Irish ownership","€5,000,000 and over","Number","20"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Non Irish ownership","Any expenditure","Number","476"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Non Irish ownership","€0 - €99,999","Number","90"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Non Irish ownership","€100,000 - €499,999","Number","109"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Non Irish ownership","€500,000 - €1,999,999","Number","110"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Non Irish ownership","€2,000,000 - €4,999,999","Number","64"
"Enterprises Engaged in Research and Development Activities (Number)","2019","Non Irish ownership","€5,000,000 and over","Number","104"
"Enterprises Engaged in Research and Development Activities (Number)","2021","All nationalities of ownership","Any expenditure","Number","1931"
"Enterprises Engaged in Research and Development Activities (Number)","2021","All nationalities of ownership","€0 - €99,999","Number","640"
"Enterprises Engaged in Research and Development Activities (Number)","2021","All nationalities of ownership","€100,000 - €499,999","Number","668"
"Enterprises Engaged in Research and Development Activities (Number)","2021","All nationalities of ownership","€500,000 - €1,999,999","Number","370"
"Enterprises Engaged in Research and Development Activities (Number)","2021","All nationalities of ownership","€2,000,000 - €4,999,999","Number","127"
"Enterprises Engaged in Research and Development Activities (Number)","2021","All nationalities of ownership","€5,000,000 and over","Number","126"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Irish ownership","Any expenditure","Number","1345"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Irish ownership","€0 - €99,999","Number","541"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Irish ownership","€100,000 - €499,999","Number","531"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Irish ownership","€500,000 - €1,999,999","Number","208"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Irish ownership","€2,000,000 - €4,999,999","Number","39"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Irish ownership","€5,000,000 and over","Number","26"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Non Irish ownership","Any expenditure","Number","585"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Non Irish ownership","€0 - €99,999","Number","99"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Non Irish ownership","€100,000 - €499,999","Number","137"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Non Irish ownership","€500,000 - €1,999,999","Number","162"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Non Irish ownership","€2,000,000 - €4,999,999","Number","88"
"Enterprises Engaged in Research and Development Activities (Number)","2021","Non Irish ownership","€5,000,000 and over","Number","100"
"Enterprises Engaged in Research and Development Activities (Number)","2023","All nationalities of ownership","Any expenditure","Number","2351"
"Enterprises Engaged in Research and Development Activities (Number)","2023","All nationalities of ownership","€0 - €99,999","Number","817"
"Enterprises Engaged in Research and Development Activities (Number)","2023","All nationalities of ownership","€100,000 - €499,999","Number","738"
"Enterprises Engaged in Research and Development Activities (Number)","2023","All nationalities of ownership","€500,000 - €1,999,999","Number","455"
"Enterprises Engaged in Research and Development Activities (Number)","2023","All nationalities of ownership","€2,000,000 - €4,999,999","Number","168"
"Enterprises Engaged in Research and Development Activities (Number)","2023","All nationalities of ownership","€5,000,000 and over","Number","173"
"Enterprises Engaged in Research and Development Activities (Number)","2023","Irish ownership","Any expenditure","Number","1706"
"Enterprises Engaged in Research and Development Activities (Number)","2023","Irish ownership","€0 - €99,999","Number","704"
"Enterprises Engaged in Research and Development Activities (Number)","2023","Irish ownership","€100,000 - €499,999","Number","605"
"Enterprises Engaged in Research and Development Activities (Number)","2023","Irish ownership","€500,000 - €1,999,999","Number","266"
"Enterprises Engaged in Research and Development Activities (Number)","2023","Irish ownership","€2,000,000 - €4,999,999","Number","93"
"Enterprises Engaged in Research and Development Activities (Number)","2023","Irish ownership","€5,000,000 and over","Number","37"
